date,HuoD,XiD,FaD
2011-06-01,0.849663596,1.121431443,0.902037987
2011-06-02,0.834063407,1.109129123,0.887256339
2011-06-03,0.846933518,1.148727115,0.900481207
2011-06-07,0.851214912,1.158338241,0.904987529
2011-06-08,0.854089216,1.151418211,0.908042028
2011-06-09,0.833116287,1.110282349,0.886456863
2011-06-10,0.840086605,1.127198066,0.891683196
2011-06-13,0.831567364,1.131042569,0.88620546
2011-06-14,0.839966136,1.152956015,0.893840134
2011-06-15,0.832460392,1.144882612,0.885590353
2011-06-16,0.814355516,1.114895664,0.866937369
2011-06-17,0.803659019,1.093751194,0.857013735
2011-06-20,0.794452678,1.100286809,0.847941085
2011-06-21,0.801918464,1.114300493,0.856245993
2011-06-22,0.79822648,1.120245712,0.853334268
2011-06-23,0.805998495,1.17714982,0.863410695
2011-06-24,0.823472321,1.190738851,0.881403465
2011-06-27,0.826346733,1.198807317,0.885428066
2011-06-28,0.825369714,1.203903246,0.887264154
2011-06-29,0.81603502,1.18436898,0.876399319
2011-06-30,0.821930845,1.235752521,0.882681933
2011-07-01,0.82169045,1.230656592,0.882803832
2011-07-04,0.837045568,1.275245691,0.901544779
2011-07-05,0.840235181,1.285437387,0.905013493
2011-07-06,0.846612285,1.316862009,0.910731775
2011-07-07,0.839057397,1.301574302,0.904818528
2011-07-08,0.840789362,1.302423607,0.904977825
2011-07-11,0.844340762,1.300724931,0.909385328
2011-07-12,0.828230209,1.271423621,0.892897621
2011-07-13,0.837433125,1.316012639,0.90463825
2011-07-14,0.838106689,1.371642723,0.905173682
2011-07-15,0.838281141,1.382259153,0.906962195
2011-07-18,0.846889103,1.363149621,0.914681527
2011-07-19,0.840025012,1.368670269,0.905532559
2011-07-20,0.835790751,1.352533354,0.902081207
2011-07-21,0.827839608,1.297327824,0.891753902
2011-07-22,0.829201358,1.313464837,0.893099509
2011-07-25,0.798444694,1.261656578,0.858540355
2011-07-26,0.794917811,1.286711329,0.85655053
2011-07-27,0.802502545,1.31898524,0.863412689
2011-07-28,0.799817698,1.331724982,0.857630782
2011-07-29,0.796887508,1.303697614,0.854378486
2011-08-01,0.80504496,1.303697614,0.860418982
2011-08-02,0.799154409,1.303697614,0.855006496
2011-08-03,0.798681012,1.291382524,0.853390654
2011-08-04,0.798805287,1.265478402,0.857122783
2011-08-05,0.778444002,1.216218173,0.836325502
2011-08-08,0.736758709,1.16695796,0.79871295
2011-08-09,0.729757132,1.186916879,0.789742477
2011-08-10,0.73794318,1.180122355,0.796934297
2011-08-11,0.74533302,1.188190821,0.803686673
2011-08-12,0.755757538,1.193286734,0.813280278
2011-08-15,0.765835433,1.223012697,0.823480912
2011-08-16,0.760747613,1.197108641,0.818054893
2011-08-17,0.756973974,1.190314133,0.816966826
2011-08-18,0.742604682,1.181396166,0.803551871
2011-08-19,0.734023412,1.146574388,0.792780296
2011-08-22,0.738217008,1.141053838,0.792664377
2011-08-23,0.750333533,1.141053838,0.804563674
2011-08-24,0.749049469,1.148273031,0.804131468
2011-08-25,0.764856184,1.203478365,0.820993788
2011-08-26,0.762731661,1.199656458,0.819798928
2011-08-29,0.753514339,1.174601757,0.810525911
2011-08-30,0.748421571,1.174176973,0.80579525
2011-08-31,0.746125803,1.191587862,0.803210408
2011-09-01,0.741770747,1.178848283,0.798243188
2011-09-02,0.735771197,1.158465218,0.789410245
2011-09-05,0.72223796,1.112601686,0.772415745
2011-09-06,0.7217264,1.095615417,0.770067986
2011-09-07,0.734183784,1.135957909,0.783757475
2011-09-08,0.727567753,1.121094903,0.78045771
2011-09-09,0.726484833,1.123218329,0.778836414
2011-09-13,0.718555381,1.095615417,0.773552908
2011-09-14,0.72425865,1.10198537,0.779031536
2011-09-15,0.723881911,1.092218131,0.778845855
2011-09-16,0.721222451,1.096040037,0.775620047
2011-09-19,0.706097997,1.058245593,0.759707636
2011-09-20,0.7076392,1.054423686,0.762795494
2011-09-21,0.726035791,1.101560751,0.782437255
2011-09-22,0.709205955,1.048903137,0.764375354
2011-09-23,0.704943317,1.019601745,0.758632891
2011-09-26,0.700251208,0.989451113,0.751580698
2011-09-27,0.703040053,1.002615476,0.756751957
2011-09-28,0.693736836,1.009409885,0.744839022
2011-09-29,0.678586831,0.991149593,0.730150319
2011-09-30,0.678770036,1.006437382,0.729714442
2011-10-10,0.676275297,1.009834669,0.72673988
2011-10-11,0.678889635,1.017053698,0.729931594
2011-10-12,0.697048657,1.059519453,0.748829583
2011-10-13,0.702648092,1.058670213,0.755459535
2011-10-14,0.700052238,1.05612233,0.75247186
2011-10-17,0.699130777,1.054848306,0.75385922
2011-10-18,0.68106363,0.989875733,0.733987719
2011-10-19,0.679385974,0.972464844,0.732045416
2011-10-20,0.665486328,0.930848493,0.71563943
2011-10-21,0.664426784,0.909190914,0.712288261
2011-10-24,0.675255439,0.944862095,0.722996369
2011-10-25,0.686006354,0.98732785,0.734309251
2011-10-26,0.690110251,0.988601873,0.739495196
2011-10-27,0.706443205,0.983081323,0.75183614
2011-10-28,0.714262843,1.029368984,0.761048838
2011-10-31,0.726533216,1.026396318,0.770860539
2011-11-01,0.73016252,1.015355218,0.774033894
2011-11-02,0.739084649,1.023423815,0.783930568
2011-11-03,0.732321836,1.027670341,0.778964397
2011-11-04,0.736590454,1.051026563,0.785140114
2011-11-07,0.735685303,1.034889534,0.782514359
2011-11-08,0.746105688,1.028094961,0.790323961
2011-11-09,0.74683742,1.041259487,0.792103663
2011-11-10,0.740321417,1.004314282,0.783946828
2011-11-11,0.741184165,1.006862166,0.783695582
2011-11-14,0.758628308,1.034889534,0.802699524
2011-11-15,0.773740803,1.032341487,0.818801288
2011-11-16,0.75120063,0.985204587,0.79638271
